metric,classifier,adjuster,dataset,column,value
Accuracy,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9255
Accuracy,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9477
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined,meta_er_status,0.8527
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8428
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.8517
ROC AUC,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9644
ROC AUC,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9473
ROC AUC,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9666
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.9583
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9493
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9601
Specificity (TNR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.899
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8875
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9043
Accuracy,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9397
Accuracy,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8955
Accuracy,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9511
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined,meta_er_status,0.8431
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.7799
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.86
ROC AUC,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9666
ROC AUC,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9439
ROC AUC,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9714
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.956
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9133
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9643
Specificity (TNR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.892
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8656
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9049
Accuracy,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9414
Accuracy,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8909
Accuracy,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9544
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined,meta_er_status,0.8464
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.7714
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.8708
ROC AUC,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9674
ROC AUC,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9358
ROC AUC,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9724
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.9607
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9344
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9659
Specificity (TNR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.8851
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8275
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9163
Accuracy,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9459
Accuracy,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9034
Accuracy,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9566
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined,meta_er_status,0.8574
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.795
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.8752
ROC AUC,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9668
ROC AUC,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9485
ROC AUC,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9681
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.9631
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9423
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9672
Specificity (TNR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.8953
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.845
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9199
Accuracy,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9388
Accuracy,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9031
Accuracy,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9477
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined,meta_er_status,0.8389
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.7986
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.8511
ROC AUC,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9631
ROC AUC,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9536
ROC AUC,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.966
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.9619
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9438
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.966
Specificity (TNR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.871
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8456
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.8857
Accuracy,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9423
Accuracy,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.922
Accuracy,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9477
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined,meta_er_status,0.8483
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8409
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.8481
ROC AUC,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9676
ROC AUC,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.963
ROC AUC,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9677
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.9619
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.95
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9643
Specificity (TNR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.8852
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8853
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.8886
Accuracy,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9423
Accuracy,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9111
Accuracy,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9499
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined,meta_er_status,0.8491
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8104
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.8573
ROC AUC,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9667
ROC AUC,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.937
ROC AUC,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9711
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.9583
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9402
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9614
Specificity (TNR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.8956
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8611
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9103
Accuracy,HistGradientBoosting,Quantile,Combined,meta_er_status,0.945
Accuracy,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9099
Accuracy,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.954
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined,meta_er_status,0.8561
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8116
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.8695
ROC AUC,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9644
ROC AUC,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9457
ROC AUC,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9682
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.9607
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9469
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.964
Specificity (TNR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.899
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8516
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9182
Accuracy,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9405
Accuracy,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9265
Accuracy,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9444
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined,meta_er_status,0.8448
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8403
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.8414
ROC AUC,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9631
ROC AUC,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9482
ROC AUC,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.965
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.9571
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9494
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9589
Specificity (TNR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.892
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8836
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.8943
Accuracy,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9485
Accuracy,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9275
Accuracy,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9545
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined,meta_er_status,0.866
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8496
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.8701
ROC AUC,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9664
ROC AUC,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9379
ROC AUC,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9709
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.9619
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9442
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9658
Specificity (TNR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.9092
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8999
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9156
Accuracy,HistGradientBoosting,Quantile,Combined,meta_er_status,0.945
Accuracy,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9067
Accuracy,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9546
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined,meta_er_status,0.8569
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8067
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.8712
ROC AUC,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9695
ROC AUC,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9459
ROC AUC,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9731
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.9583
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9337
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.963
Specificity (TNR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.9058
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8644
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9252
Accuracy,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9397
Accuracy,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9125
Accuracy,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9466
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined,meta_er_status,0.8423
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8146
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.8466
ROC AUC,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9673
ROC AUC,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9413
ROC AUC,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9721
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.956
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9292
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9615
Specificity (TNR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.892
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.886
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.8942
Accuracy,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9459
Accuracy,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9206
Accuracy,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9521
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined,meta_er_status,0.8588
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8338
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.862
ROC AUC,HistGradientBoosting,Quantile,Combined,meta_er_status,0.96
ROC AUC,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9463
ROC AUC,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9602
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.9619
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9423
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9657
Specificity (TNR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.899
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8873
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9032
Accuracy,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9379
Accuracy,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8821
Accuracy,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9521
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined,meta_er_status,0.8368
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.7569
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.8629
ROC AUC,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9653
ROC AUC,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9498
ROC AUC,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.969
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.9607
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.933
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.967
Specificity (TNR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.8711
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8148
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.8997
Accuracy,HistGradientBoosting,Quantile,Combined,meta_er_status,0.945
Accuracy,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9015
Accuracy,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9558
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined,meta_er_status,0.856
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.7968
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.8732
ROC AUC,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9642
ROC AUC,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9485
ROC AUC,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9657
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.9607
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9324
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.966
Specificity (TNR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.899
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.854
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9192
Accuracy,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9468
Accuracy,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9169
Accuracy,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9544
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined,meta_er_status,0.8612
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8281
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.8701
ROC AUC,HistGradientBoosting,Quantile,Combined,meta_er_status,0.9645
ROC AUC,HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9434
ROC AUC,HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.968
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.9607
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.9516
Sensitivity (TPR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9629
Specificity (TNR),HistGradientBoosting,Quantile,Combined,meta_er_status,0.9058
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse20194,meta_er_status,0.8716
Specificity (TNR),HistGradientBoosting,Quantile,Combined on gse62944,meta_er_status,0.9232
Accuracy,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9079
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8079
ROC AUC,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9429
Sensitivity (TPR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9423
Specificity (TNR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8536
Accuracy,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9167
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.825
ROC AUC,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.941
Sensitivity (TPR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9428
Specificity (TNR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8762
Accuracy,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9123
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8153
ROC AUC,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9508
Sensitivity (TPR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9352
Specificity (TNR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8766
Accuracy,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.886
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.7608
ROC AUC,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9304
Sensitivity (TPR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9135
Specificity (TNR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8425
Accuracy,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9211
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8356
ROC AUC,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9433
Sensitivity (TPR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9497
Specificity (TNR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8774
Accuracy,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9298
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.853
ROC AUC,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9431
Sensitivity (TPR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9494
Specificity (TNR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8992
Accuracy,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9211
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8327
ROC AUC,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9278
Sensitivity (TPR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.957
Specificity (TNR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8644
Accuracy,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9035
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.7965
ROC AUC,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9337
Sensitivity (TPR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9283
Specificity (TNR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8648
Accuracy,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9298
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8538
ROC AUC,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9445
Sensitivity (TPR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9497
Specificity (TNR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8992
Accuracy,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9079
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8061
ROC AUC,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.931
Sensitivity (TPR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9349
Specificity (TNR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8659
Accuracy,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9254
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8426
ROC AUC,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9503
Sensitivity (TPR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9568
Specificity (TNR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8755
Accuracy,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9211
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8354
ROC AUC,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9548
Sensitivity (TPR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9423
Specificity (TNR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8877
Accuracy,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9123
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8164
ROC AUC,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9324
Sensitivity (TPR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9282
Specificity (TNR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8877
Accuracy,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9167
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8241
ROC AUC,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.941
Sensitivity (TPR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9426
Specificity (TNR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8762
Accuracy,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9079
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8082
ROC AUC,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9427
Sensitivity (TPR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9351
Specificity (TNR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8651
Accuracy,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9254
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8438
ROC AUC,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9359
Sensitivity (TPR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9496
Specificity (TNR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8885
Accuracy,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9211
MCC (Matthews Corr Coef),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.8369
ROC AUC,HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9369
Sensitivity (TPR),HistGradientBoosting,Quantile,gse20194,meta_er_status,0.9493
