"variable","value","L1","iteration"
"Reg_s",0.835820895522388,"lasso",22
"Batch",0.878787878787879,"rf",22
"ComBat",0.828571428571429,"rf",22
"Avg",0.857142857142857,"rf",22
"n_Avg",0.845070422535211,"rf",22
"CS_Avg",0.857142857142857,"rf",22
"Reg_a",0.845070422535211,"rf",22
"Reg_s",0.857142857142857,"rf",22
"Batch",0.764705882352941,"svm",22
"ComBat",0.898550724637681,"svm",22
"Avg",0.869565217391304,"svm",22
"n_Avg",0.869565217391304,"svm",22
"CS_Avg",0.873239436619718,"svm",22
"Reg_a",0.869565217391304,"svm",22
"Reg_s",0.882352941176471,"svm",22
"Batch",0.878787878787879,"crossmod",22
"ComBat",0.828571428571429,"crossmod",22
"Avg",0.882352941176471,"crossmod",22
"n_Avg",0.882352941176471,"crossmod",22
"CS_Avg",0.869565217391304,"crossmod",22
"Reg_a",0.882352941176471,"crossmod",22
"Reg_s",0.882352941176471,"crossmod",22
"Batch",0.891891891891892,"lasso",23
"ComBat",0.909090909090909,"lasso",23
"Avg",0.784810126582278,"lasso",23
"n_Avg",0.873239436619718,"lasso",23
"CS_Avg",0.871794871794872,"lasso",23
"Reg_a",0.861111111111111,"lasso",23
"Reg_s",0.873239436619718,"lasso",23
"Batch",0.918918918918919,"rf",23
"ComBat",0.883116883116883,"rf",23
"Avg",0.883116883116883,"rf",23
"n_Avg",0.883116883116883,"rf",23
"CS_Avg",0.883116883116883,"rf",23
"Reg_a",0.883116883116883,"rf",23
"Reg_s",0.894736842105263,"rf",23
"Batch",0.779220779220779,"svm",23
"ComBat",0.935064935064935,"svm",23
"Avg",0.894736842105263,"svm",23
"n_Avg",0.894736842105263,"svm",23
"CS_Avg",0.9,"svm",23
"Reg_a",0.894736842105263,"svm",23
"Reg_s",0.933333333333333,"svm",23
"Batch",0.918918918918919,"crossmod",23
"ComBat",0.883116883116883,"crossmod",23
"Avg",0.906666666666667,"crossmod",23
"n_Avg",0.906666666666667,"crossmod",23
"CS_Avg",0.883116883116883,"crossmod",23
"Reg_a",0.894736842105263,"crossmod",23
"Reg_s",0.933333333333333,"crossmod",23
"Batch",0.962962962962963,"lasso",24
"ComBat",0.906976744186046,"lasso",24
"Avg",0.886075949367089,"lasso",24
"n_Avg",0.923076923076923,"lasso",24
"CS_Avg",0.939759036144578,"lasso",24
"Reg_a",0.923076923076923,"lasso",24
"Reg_s",0.936708860759494,"lasso",24
"Batch",0.938271604938272,"rf",24
"ComBat",0.926829268292683,"rf",24
"Avg",0.91566265060241,"rf",24
"n_Avg",0.91566265060241,"rf",24
"CS_Avg",0.91566265060241,"rf",24
"Reg_a",0.91566265060241,"rf",24
"Reg_s",0.926829268292683,"rf",24
"Batch",0.775,"svm",24
"ComBat",0.975609756097561,"svm",24
"Avg",0.951219512195122,"svm",24
"n_Avg",0.951219512195122,"svm",24
"CS_Avg",0.976190476190476,"svm",24
"Reg_a",0.951219512195122,"svm",24
"Reg_s",0.951219512195122,"svm",24
"Batch",0.938271604938272,"crossmod",24
